Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-164120,Hennepin,Minneapolis,Broadway St NE,Central Av NE,2000/06/03,1820,Bicycle,Possible Injury (C),
00-166755,Hennepin,Minneapolis,26th St W,Grand Av S,2000/06/06,810,Bicycle,Possible Injury (C),
00-167269,Hennepin,Minneapolis,51st Av N,Queen Av N,2000/06/06,1800,Bicycle,Possible Injury (C),
00-167300,Hennepin,Minneapolis,15th St W,Spruce Place S,2000/06/06,1630,Bicycle,Possible Injury (C),
00-167328,Hennepin,Minneapolis,35th Av N,Queen Av N,2000/06/06,1905,Bicycle,Possible Injury (C),
00-167517,Hennepin,Minneapolis,Franklin Av W,Nicollet Av S,2000/06/06,2145,Bicycle,Possible Injury (C),
00-169566,Hennepin,Minneapolis,27th St E,Bloomington Av S,2000/06/08,1548,Bicycle,Possible Injury (C),
00-170454,Hennepin,Minneapolis,45th St W,France Av S,2000/06/09,828,Bicycle,Possible Injury (C),
00-170776,Hennepin,Minneapolis,6th St SE,14th Av SE,2000/06/09,1545,Bicycle,Possible Injury (C),
00-170981,Hennepin,Minneapolis,32nd Av S,34th St E,2000/06/09,1901,Bicycle,Possible Injury (C),
00-171555,Hennepin,Minneapolis,I-94 EB Ramp,West Broadway Av N,2000/06/10,105,Bicycle,Property Damage Only,
00-171836,Hennepin,Minneapolis,62nd St W,Nicollet Av S,2000/06/10,830,Bicycle,Possible Injury (C),
00-172249,Hennepin,Minneapolis,24th St W,Lyndale Av S,2000/06/10,1845,Bicycle,Property Damage Only,
00-173285,Hennepin,Minneapolis,36th St E,Cedar Av S,2000/06/11,1536,Bicycle,Possible Injury (C),
00-176354,Hennepin,Minneapolis,25th St E,Minnehaha Av S,2000/06/14,830,Bicycle,Possible Injury (C),
00-176569,Hennepin,Minneapolis,4th St SE,12th Av SE,2000/06/14,1315,Bicycle,Possible Injury (C),
00-177595,Hennepin,Minneapolis,32nd St E,Hiawatha Av S,2000/06/15,1015,Bicycle,Possible Injury (C),
00-177816,Hennepin,Minneapolis,13th Av SE,University Av SE,2000/06/15,1424,Bicycle,Possible Injury (C),
00-177957,Hennepin,Minneapolis,49th St W,Drew Av S,2000/06/15,1734,Bicycle,Possible Injury (C),
00-179018,Hennepin,Minneapolis,31st St W,Lyndale Av S,2000/06/16,1700,Bicycle,Possible Injury (C),
00-179415,Hennepin,Minneapolis,4th St SE,12th Av SE,2000/06/16,2303,Bicycle,Possible Injury (C),
00-180373,Hennepin,Minneapolis,31st St W,Fremont Av S,2000/06/17,1930,Bicycle,Possible Injury (C),
00-182231,Hennepin,Minneapolis,26th St E,Park Av S,2000/06/19,2326,Bicycle,Possible Injury (C),
00-182547,Hennepin,Minneapolis,22nd Av S,Lake St E,2000/06/19,1710,Bicycle,Possible Injury (C),
00-184101,Hennepin,Minneapolis,West Broadway Av N,Lyndale Av N,2000/06/20,2215,Bicycle,Property Damage Only,
00-185066,Hennepin,Minneapolis,6th St SE,15th Av SE,2000/06/21,1800,Bicycle,Possible Injury (C),
00-185914,Hennepin,Minneapolis,46th St E,Columbus Av S,2000/06/22,1130,Bicycle,Possible Injury (C),
00-187356,Hennepin,Minneapolis,East Lake Harriet Pkwy S,Minnehaha Pkwy W,2000/06/23,1530,Bicycle,Possible Injury (C),
00-187409,Hennepin,Minneapolis,28th St E,Stevens Av S,2000/06/23,1640,Bicycle,Possible Injury (C),
00-187842,Hennepin,Minneapolis,Lyndale Av S,Ridgewood Av W,2000/06/23,2220,Bicycle,Property Damage Only,
00-188693,Hennepin,Minneapolis,22nd St W,Nicollet Av S,2000/06/24,1435,Bicycle,Possible Injury (C),
00-190026,Hennepin,Minneapolis,23rd Av N,Lyndale Av N,2000/06/25,1720,Bicycle,Possible Injury (C),
00-190865,Hennepin,Minneapolis,25th Av SE,University Av SE,2000/06/26,1230,Bicycle,Possible Injury (C),
00-191011,Hennepin,Minneapolis,28th St E,Chicago Av S,2000/06/26,1455,Bicycle,Possible Injury (C),
00-193161,Hennepin,Minneapolis,Twins Way N,10th St N,2000/06/28,758,Bicycle,Possible Injury (C),
00-193325,Hennepin,Minneapolis,Groveland Av W,Lyndale Av S,2000/06/28,1140,Bicycle,Possible Injury (C),
00-193660,Hennepin,Minneapolis,Cedar Av S,EM Stately St E,2000/06/28,1815,Bicycle,Possible Injury (C),
